x,cdf(x),ccdf(x)
-256,5.379020277976357758792150802487776934777504755624936735046321090594771387533950142014137275672882470962673319767529829971298271147164262455767358452145e-9715008,1
-255.5,2.96008268244429383807451466774881341548943273879107148482930295728155576193582036092370589612079378575612509740197919391763732231368186049795550601486e-9658195,1
-255,1.938325659742216254730828876763002510759256839775185039634765383507274286829057011677530686703351355777171453719559432354735075550573968333565400963825e-9601604,1
-254.5,4.105503075836389741765245604817454218903179809469611619142970373686677268123345206350184190598702866745919888965994428593880945195493365304025969741403e-9545235,1
-254,7.645699842371693517983183022679860540811181745932828327833987648803245123622139927150485924422343904979708207568232221451899188836676392895424469480205e-9489087,1
-253.5,3.403093051882000422566462652986922169909958562099802033008349907745154811054976132284156652328449685036090276904409763117967621336457342691210062196704e-9433159,1
-253,9.840804717052058857609004708685672400613898205133804958248575239169587281929983892581287242068142940240040514397333815458155621293139915751595658111123e-9377452,1
-252.5,5.025532712963686534066354810730443356078310158791740266951613408352148896764862727909035445595590285304701535871635736145997010401234079137407042259788e-9321964,1
-252,1.232034270004841561651794926621451690185240415593724839529672657022240378394676507673391210390534928647316057379409537526277230104270545634460540169148e-9266695,1
-251.5,3.941369554432256144486876379350718144953447113469739914942254652805651821773887291691851014994492636667667049441155843739117124101900883639447119134009e-9211646,1
-251,4.472493357374356687030642281417415923986130635242449840137091134011002758596465573630484419654313206953475472839730139006737922056650080808367902404182e-9156815,1
-250.5,4.893560033465056124623183852918478378305130312979244431134466672485611922319517687734344665214231889952156650416593526822090315359617587168278800310606e-9102202,1
-250,1.403354199932380796334400088483856401770833995438074310363673273182358826833640420160042879591339916689223779664202214059830751457948670494866786507122e-9047806,1
-249.5,2.867288091935028882167050729859366040358312147294382477711746985889022355501077183296493838025209666204784932595506600069983862142418137061646454999997e-8993628,1
-249,1.134570559067480040445321846548246734326123283042987081165394269506383812025428225429655863364865693756171542098089139175403461087496827269474232370111e-8939666,1
-248.5,2.363427734645619333986483347195310859341057798142944384220029040475829297633586563389778098037263036370371429031273238793233023614879026103174056230777e-8885921,1
-248,7.045280306246957277726123546735163449905558473300868489923194858850376086300262792846128660457826360115081732975653511211249039129423074615744479961626e-8832392,1
-247.5,8.169469390971436081201172587693668645619094167934101494849009281660471591469597077821676901228637099536775323781418442576935744274296125743255739934133e-8779078,1
-247,1.001667400075330771793483730892791434615283713017119840947225132997131745767307245890555411151158329131858856871434357880425044137134643268565858506572e-8725978,1
-246.5,3.530057979636052364979579034830167672544663356819216156204510909988580649942877242718324825433347852631111191531405346091339942436351465352436492586063e-8673094,1
-246,9.719932287077033085838546848141595672420816674983963808479895066811501154880003826422889058059547550745955135538659419154121608259683945607947020296287e-8620424,1
-245.5,5.684106875985695201956140834248450804331759386608008070496323635108453411201483712157899366875943601028748959148897929202438942003154719985713463798895e-8567967,1
-245,1.918992682133017737816493460729342816049008354456799245479100185596042611892818343703766960613136845949479243797012833856626633072289475437708126399203e-8515723,1
-244.5,1.016695690336237941266343128619003671350241709693184655225998080913347813416347386811068565022089581140475813097038531520522646889333398746611431820087e-8463692,1
-244,2.297786747405584346568258875788036924030436634423738512191623554069953292393539184251460457235705964071623213676373293799361924417880977565321747064771e-8411874,1
-243.5,6.021768071936226211774270688642172144050003294152530415727398992531987143025222064870613130366017253210321333322037393881555468278650407961296681938944e-8360268,1
-243,4.974258937190937703666888872003795429506319187376817846016926096768463441328664234318228694056824492127064387928050048661369410804757725962341693464046e-8308873,1
-242.5,3.520605038900800657595573512392215181754697086177152299702662089880505008209409085197807638235309920758810324887982475711880746058112816441701697039692e-8257689,1
-242,5.80343694193251079744000219063517200470467149252173568233579112615965269995855654898587498597918887603795319693059160700178246703756939099917644051384e-8206716,1
-241.5,6.056570450436160787147409474327288625116051901637304046922521444467011389418532116879809724850606097206642471536824775270498993747971427303297355680504e-8155953,1
-241,1.087768078466560169030210913683701335403495566944276534389536670152695200572359600655120612811834681403984144870027212388507314021496364033056293912393e-8105399,1
-240.5,9.139204034391363900093301364945477917795248984567284161583231507666493916108400016707993113530770595596114372534961843267296164313225379554172319845904e-8055056,1
-240,9.76421776426208411146579306141927939583846301844616889176499436076509186360930680090540390644923968120640927596443188458579564265307196287080261477331e-8004921,1
