x,pdf(x)
-256,1.410077923267529938912877142661529885686220920870962933335141469100697890508241013947651908311108832111288507743387365158239665877790895700847926658904e-9715002
-255.5,7.729397675007119311427504565934458914961415579026729335817697978851629584945893213489060988887357642090685954909342306460362765072251065986460770403231e-9658190
-255,5.041585155008656063239753642645108381019059143494642585066736708775829040172093962943669141656218712306016830660166545625605204470529611225836593327583e-9601599
-254.5,1.063657866588230752096696106535602555526600315376755367600592596331776537719301918030423288830620473476789614590641456741542937753119012494303034210443e-9545229
-254,1.973079929273577487000358647196649916323596788726335921000893853097715328644727090911440430899022016029475617529232165686686996378598163876674972629985e-9489081
-253.5,8.747616860298607284586009791993840299880857943841623257630558622917528886488259311859327839804943130364858235887912403289229622456079147317100279894329e-9433154
-253,2.519600334879830388018253561568508561866313875096256176442828619808416632886907705036021318954159068533033338800412085721581326689881840152101681098916e-9377446
-252.5,1.281636509978212624725540676424248375419870276948215143191965798259284660322667004779671751643973020589652384066043171132395557635383660590449827712503e-9321958
-252,3.129564244630868309811866178589318730314992071823986112200392620308781983280378393021758648396212102990409878518173742606443217171478734569997199606809e-9266690
-251.5,9.972019931045239290640762020923280844732120916349161040148223166893629220956160465226177852337595608853752542187813309398088526511379100070297487260837e-9211641
-251,1.127086242759814137748006097848696780537864590068441913864895889609279393582017586085816200887659463642480196869117355323782519556351672780373150184527e-9156809
-250.5,1.228288491262515923291248950846196347512632454793980014737033684815892348475196601936332057205553287530157210522722293025280149814071026323137690308772e-9102196
-250,3.508385584032200169655876851048926916600662619915132860622056808378720570132998515068482602138894136716103431922224538639064253428484834801408070512953e-9047801
-249.5,7.139576194181183020489101524600505122644942252052759653336603907651382115093790881152638743923891534520682199957164834989400316153356533838608991109281e-8993623
-249,2.81378043765733410380985891182042073405741425347429934859710383687671619379494834584814645865566193744114818927433126910924240347284251160377099930622e-8939661
-248.5,5.83787935573242515756646901943333115740459315153334361319078301235359245333158419382386166746571013467136596747299958577579950586045611989439530760701e-8885916
-248,1.733251722434231960214038712855417675958055885794082706292181185889192803569063946603324752483543372464503797203418006610535815966007958440308990372806e-8832386
-247.5,2.001724287034709515406959132706433617194322483439267467938672426217647149487996405308448091667515203920815284679720133631069755793361119519311190082129e-8779072
-247,2.444429117277835396079505932700586609493936002865879421526927102765315947218899600273125607775551275073852529870488721326552724412344675945477470347005e-8725973
-246.5,8.579770833736449157561316591275414897594270839586144102327853012062373360396147324438449871156007501235417170866733728257438583930846656819140700092647e-8673089
-246,2.352845748406891916123822944281843604302705235372835512906816601399960412387504861665868766622785616977807434087880816921491389879910239095650874298241e-8620418
