quantile,x
0.5,-2.7347630981017495237228835747364595601553533741577686015698257762560609752860129757816740038235855368361754258898125968206364443632301772882904350e-1
0.4999,-2.7362125908239333122054914847845712740191339347057846106612377909448222712022516663968642559137393100144278489627198632518531415997703386622593674e-1
0.4998,-2.7376619448082036717028488107917047291499430162341744307898821950457117393900433454749437178248444941127152254541180773569238031236884255867329995e-1
0.4997,-2.7391111601837148612732752223538472778407518180316873386907588043990454930804323125027859222433350852939711196872152909102058310759063566026182439e-1
0.4996,-2.7405602370795712410573538153593952188810156451598178190226725288069844506063096784737400896461007999218319169481913262083592964994242265350310887e-1
0.4995,-2.7420091756248273436849498951585062762124860470080060296593825784422195214326478924468796714028280435712445705788173438920821053323479466520003617e-1
0.4994,-2.7434579759484879456306352854199419353645203049146674242083609013510063303515377065197567249192712471580888861029515873970844473251105134468164809e-1
0.4993,-2.7449066381795081385176154807407976206531401891074020891927204815579425600259684324531319404359363397100903494685896190110220286558842072671450498e-1
0.4992,-2.7463551624467934003702568560735266384996610854195785080894408439082787863566714019887772062989096891950588122262449229627691586193028177993381255e-1
0.4991,-2.7478035488791996668153110412775310895726250580158120870597626909803334018387515379727642128576488193641503843639948931005563992885031681321078190e-1
0.499,-2.7492517976055334022319334645889669852949887583261734449805878600347464243407917330573873256284440738205478168209052575138713841194531082965288621e-1
0.4989,-2.7506999087545516708505929645319399823091897029488168720014541699925866916209891299461502344996929813922940547878426695926326543336781743930719751e-1
0.4988,-2.7521478824549622078009692657666018289237868321896839996447124408560089821373227872564138255389964925449397196997156263377894719041798362925145476e-1
0.4987,-2.7535957188354234901089350105844461232337739651191799619926096134938504519394564542633176956349570104444934982930227439114901395082563309306060084e-1
0.4986,-2.7550434180245448076427189342179966003070806081629006186856778582193245142161208603207295676627655872243510377522013856561683644724104459863876279e-1
0.4985,-2.7564909801508863340083466688307341445489670330503024675446781511929435876282984252244990652849890588605788505547729011025865616926777644959838932e-1
0.4984,-2.7579384053429591973944555579931732725327120889134774022182484769792057977749691789949056144674825171048011280775996395942677189578966480613554066e-1
0.4983,-2.7593856937292255513665797606321291193752804804554508067994396570040455978785708361653096559429161980965001600570910514413886995130262862208173980e-1
0.4982,-2.7608328454380986456110018208620671132849559263706751451333906221488843593918770166660454506528909325875568995873642258171818914445814858553385829e-1
0.4981,-2.7622798605979428966282667777696556186234251008570130543400960029440964772929340292891324217881696357909394734658422523483162525743898664073229508e-1
0.498,-2.7637267393370739583764547871249039016634119842979740023875958377132437146931171085961144740494424662564036055429385177370059140800254591690837180e-1
0.4979,-2.7651734817837587928643081251342218109747877809663698931399522454193549434840800991552655138783826000936106828669306343495653436769125180987752666e-1
0.4978,-2.7666200880662157406943083427320425019543145886394195541089985405433937280548027345922907864893932317316956050626736956809643878144884289626651478e-1
0.4977,-2.7680665583126145915557992375279652567695112871542733723178036474787250271980976848911297913935712047680076404143103653514116550353645753905148586e-1
0.4976,-2.7695128926510766546682512093853627879875856147878575436681649532055548062548169180910609254395384929235329729363811484429158850263613144435123914e-1
0.4975,-2.7709590912096748291747624647047181425166108162969872803033861053174277357456310822838700960937231427981457612189354765281026737119947652871243359e-1
0.4974,-2.7724051541164336744858924338202731616621361766237536398196911529781093059170981431568526315465466156751758403741914973313154891964319855702616568e-1
